GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support,Total
3700030,Alamance-Burlington,"920,538",0,"707,351","2,100,060","13,240,141","6,075,712","6,597,266","5,981,336",117,"9,094,878",234,"1,958,285","6,389,734","1,092,875","148,233",0,0,"-370,820",0,0,"1,094","75,421,913",36,"4,057,200","4,082,750",0,"1,038","7,488,132","311,867","444,253","144,821,166"
3700090,Alexander County,"186,386",0,"143,243","105,151","3,139,415","2,285,549","1,294,027","1,440,694",24,"1,887,432",47,"392,107","1,293,762","615,879","30,014",0,0,"-46,078",0,0,221,"15,864,919",11,"1,186,152","1,067,448",0,261,"1,857,276","74,379","77,892","32,709,261"
3700120,Alleghany County,"53,482",0,"41,106","95,714","832,627",0,"413,586","240,115",7,"514,962",14,"118,988","371,232","481,507","8,612",0,0,"-14,134",0,0,66,"4,769,395",4,"425,516","482,951","1,548,700",109,"791,340","27,896","23,864","11,173,977"
3700180,Anson County,"122,592",0,"94,118","82,850","2,154,804","1,888,609","925,118","1,262,147",16,"1,212,944",31,"262,522","850,947","561,006","19,741",0,0,"-34,883",0,0,148,"9,975,569",9,"969,876","1,061,878","1,548,000",179,"1,201,806","49,412","51,164","24,137,628"
3700210,Ashe County,"115,517",0,"88,820","106,233","1,974,646",0,"769,691","526,405",15,"1,182,990",30,"256,822","801,838","568,377","18,602",0,0,"-46,593",0,0,138,"10,367,695",6,"678,222","1,888,593","1,548,000",180,"1,224,900","49,818","47,919","22,052,978"
3700240,Avery County,"73,827",0,"56,731","142,025","1,515,109",0,"506,358","341,701",10,"787,780",19,"164,977","512,455","582,054","11,888",0,0,"-18,189",0,0,88,"6,521,004",8,"840,136","979,028","1,600,000",133,"949,753","35,406","34,173","15,562,389"
3700270,Beaufort County,"248,302",0,"190,756","366,890","4,130,424","1,390,821","1,712,624","1,302,165",32,"2,370,912",63,"538,620","1,723,536","820,563","39,984",0,0,"-44,181",0,0,292,"20,338,971",13,"1,379,664","2,087,734",0,330,"2,346,630","95,692","114,166","40,905,971"
3700300,Bertie County,"76,625",0,"58,894","16,615","1,281,856","1,147,246","506,358","886,582",10,"726,720",20,"159,029","531,877","654,422","12,339",0,0,"-47,400",0,0,91,"6,251,877",7,"707,854","1,295,803","1,600,000",136,"978,928","36,421","41,046","16,846,467"
3700330,Bladen County,"156,767",0,"120,520","290,417","2,429,634","2,417,232","1,082,141","1,603,848",20,"1,599,600",40,"339,478","1,088,169","808,386","25,244",0,0,"-66,861",0,0,185,"13,077,194",12,"1,296,420","1,885,656",0,240,"1,735,440","68,086","83,429","29,884,033"
3700360,Brunswick County,"509,754",0,"392,075","593,807","7,544,112",0,"3,442,454","2,548,919",65,"5,214,300",129,"1,101,380","3,538,354","767,911","82,085",0,0,"-69,814",0,0,598,"41,769,116",20,"2,269,500","5,274,102",0,640,"4,676,480","190,180","245,513","79,580,474"
3700390,Buncombe County,"932,889",0,"716,555","1,694,705","14,082,036",0,"6,777,218","3,737,179",119,"9,398,977",237,"2,033,001","6,475,467","1,227,159","150,222",0,0,"-267,458",0,0,"1,109","79,961,531",43,"4,723,808","7,641,483",0,"1,078","7,589,120","324,147","477,090","146,742,240"
3700420,Asheville City,"182,149",0,"139,854","71,632","2,435,067",0,"1,245,357","1,052,814",23,"1,827,580",46,"400,648","1,264,352","484,813","29,331",0,0,"-58,340",0,0,215,"15,959,710",9,"953,595","411,254",0,255,"1,796,220","72,654","95,265","28,181,806"
3700450,Burke County,"467,704",0,"359,345","1,007,583","8,012,748","6,888,120","3,194,242","4,060,412",60,"4,704,660",119,"1,002,799","3,246,473","914,239","75,314",0,0,"-250,750",0,0,553,"39,643,575",26,"2,804,490","2,484,531",0,575,"4,188,875","170,490","197,403","82,704,549"
3700480,Cabarrus County,"1,372,613",0,"1,054,859","2,148,083","16,475,103",0,"9,238,480","4,946,994",175,"13,152,125",349,"3,051,147","9,527,724","1,012,832","221,030",0,0,"-746,323",0,0,"1,611","113,253,676",42,"4,945,752","13,322,354",0,"1,612","11,263,044","487,276","633,638","203,987,794"
3700530,Kannapolis City,"218,003",0,"167,446","574,230","3,153,064","373,449","1,557,947","1,646,944",28,"2,005,920",55,"449,667","1,513,227","483,536","35,105",0,0,"-20,381",0,0,260,"16,984,188",8,"919,256","915,127",0,280,"1,990,800","80,164","88,392","32,918,081"
3700580,Caldwell County,"442,842",0,"340,324","366,663","7,038,721","4,402,170","3,053,440","3,820,297",57,"4,556,922",112,"969,590","3,073,898","831,659","71,310",0,0,"-143,984",0,0,521,"38,216,822",26,"2,852,252","2,118,659",0,561,"4,126,155","166,194","184,612","76,045,704"
3700600,Camden County,"73,028",0,"56,212","3,186","1,033,755","683,512","525,112","437,134",10,"804,410",19,"158,079","506,906","474,718","11,760",0,0,"-37,267",0,0,88,"6,433,526",5,"562,250","610,132","1,600,000",137,"971,330","36,591","36,464","14,907,810"
3700630,Carteret County,"321,169",0,"246,885","195,508","4,332,581",0,"2,165,737","1,416,065",41,"3,279,754",82,"719,990","2,229,332","699,214","51,718",0,0,"-125,759",0,0,377,"27,784,885",16,"1,788,672","1,681,691",0,421,"2,970,576","123,433","144,139","49,704,421"
3700660,Caswell County,"92,893",0,"71,313","50,732","1,879,136","1,152,544","670,337","784,991",12,"960,468",24,"201,137","644,800","603,067","14,958",0,0,"-64,821",0,0,112,"7,645,880",6,"605,886","1,179,510","1,470,000",150,"1,051,950","40,650","34,555","18,997,093"
3700690,Catawba County,"623,632",0,"479,254","1,192,849","8,626,566",0,"4,301,799","2,453,486",80,"6,170,480",158,"1,309,358","4,328,816","935,209","100,423",0,0,"-239,148",0,0,739,"52,486,857",28,"3,164,756","4,640,132",0,743,"5,370,404","221,878","275,296","95,818,415"
3700720,Hickory City,"160,405",0,"123,292","485,732","2,416,689",0,"1,199,920","781,913",21,"1,588,356",41,"346,033","1,113,417","489,696","25,830",0,0,"-38,676",0,0,191,"13,310,957",9,"969,390","493,711",0,224,"1,579,648","63,283","79,038","25,028,229"
3702970,Newton-Conover,"115,117",0,"88,437","363,657","1,773,464",0,"788,633","615,680",15,"1,094,550",30,"248,742","799,064","447,778","18,537",0,0,"-38,068",0,0,139,"9,370,888",6,"644,142","361,940",0,181,"1,355,147","49,920","55,555","18,038,066"
3700750,Chatham County,"365,018",0,"280,600","987,554","4,943,645",0,"2,502,899","1,453,004",47,"3,570,872",93,"801,310","2,533,698","667,499","58,778",0,0,"-159,104",0,0,431,"30,761,406",20,"2,149,180","2,665,363",0,461,"3,227,461","135,612","184,994","56,764,771"
3700780,Cherokee County,"123,112",0,"94,724","60,181","2,375,339","473,120","787,601","581,820",16,"1,263,904",31,"264,955","854,554","561,546","19,825",0,0,"-23,708",0,0,144,"10,735,007",13,"1,358,253","856,023","1,548,000",196,"1,380,036","54,757","59,756","23,305,693"
3700870,Edenton/Chowan,"72,788",0,"55,934","72,620","1,134,833","478,883","513,080","609,523",10,"770,500",19,"160,405","505,241","602,453","11,721",0,0,"-40,351",0,0,88,"6,247,961",4,"442,048","783,450","1,600,000",130,"883,480","34,324","30,737","14,896,842"
3700900,Clay County,"51,083",0,"39,200","71,614","955,649",0,"355,307","230,879",7,"565,096",13,"112,720","354,584","485,008","8,226",0,0,"-13,124",0,0,62,"4,461,347",4,"431,664","380,371","1,820,000",105,"783,930","26,814","19,664","11,088,949"
3700930,Cleveland County,"558,918",0,"429,307","254,911","9,625,405","5,911,135","3,825,195","4,072,727",71,"5,788,914",142,"1,219,700","3,879,620","1,012,475","90,002",0,0,"-144,496",0,0,662,"47,861,926",29,"3,185,998","3,542,190",0,666,"4,879,116","198,164","240,549","95,872,838"
3700960,Columbus County,"211,208",0,"162,240","175,479","2,954,241","4,500,010","1,478,240","2,130,253",27,"2,021,598",54,"445,130","1,466,060","690,637","34,011",0,0,"-19,980",0,0,249,"17,078,089",17,"1,862,044","2,122,746",0,297,"2,130,084","85,441","94,692","39,411,015"
3703310,Whiteville City,"88,776",0,"68,157","92,840","1,264,866","1,887,944","611,635","945,071",12,"899,364",23,"192,529","616,222","449,986","14,296",0,0,"-26,837",0,0,110,"7,937,443",5,"530,315","389,513",0,149,"1,009,177","40,210","36,464","16,959,195"
3700011,Craven County,"527,821",0,"405,483","493,208","7,443,598","2,651,405","3,897,443","2,493,508",67,"5,027,613",134,"1,133,039","3,663,762","918,252","84,994",0,0,"-179,757",0,0,629,"41,908,645",25,"2,730,475","4,053,594",0,619,"4,348,475","183,989","228,713","81,486,439"
3701080,Cumberland County,"1,995,765",0,"1,532,499","1,277,971","32,184,230","22,008,241","14,715,956","14,293,022",254,"19,068,796",507,"4,310,737","13,853,211","1,944,797","321,376",0,0,"-845,166",0,0,"2,383","163,093,184",87,"9,785,412","12,693,940",0,"2,156","15,229,984","653,619","896,142","327,017,951"
3701110,Currituck County,"168,679",0,"129,507","61,684","2,269,666",0,"1,318,778","769,603",22,"1,760,330",43,"373,202","1,170,850","526,519","27,162",0,0,"-98,091",0,0,204,"14,551,959",10,"1,051,060","1,984,742",0,226,"1,586,068","63,925","69,683","27,616,647"
3701140,Dare County,"212,647",0,"163,391","335,937","2,921,021",0,"1,365,669","772,677",27,"2,210,409",54,"467,819","1,476,048","605,590","34,242",0,0,"-100,704",0,0,252,"19,261,624",10,"1,181,720","1,117,764",0,295,"2,061,165","84,765","88,774","34,047,911"
3701170,Davidson County,"737,830",0,"566,920","454,744","11,049,689","5,107,564","4,985,121","4,081,963",94,"6,989,746",187,"1,589,169","5,121,498","1,050,461","118,812",0,0,"-161,001",0,0,866,"59,532,042",36,"3,945,528","4,398,134",0,899,"6,383,799","269,444","327,605","115,811,238"
3701200,Lexington City,"122,192",0,"93,928","366,393","1,759,680","845,435","886,813","4,482,153",16,"1,112,144",31,"265,127","848,173","454,653","19,676",0,0,"-31,570",0,0,146,"9,891,998",6,"655,410","493,219",0,177,"1,301,481","48,803","56,510","23,550,026"
3701260,Thomasville City,"89,136",0,"68,381","302,695","1,263,478","617,480","709,676","2,790,551",12,"933,048",23,"190,342","618,719","429,266","14,353",0,0,"-45,136",0,0,111,"7,273,272",4,"455,828","167,009",0,138,"900,450","36,827","31,119","16,757,358"
3700840,Davie County,"241,466",0,"185,581","227,144","4,240,485","205,544","1,656,081","895,813",31,"2,407,894",61,"523,438","1,676,091","589,444","38,883",0,0,"-82,094",0,0,286,"20,354,962",12,"1,339,728","1,555,168",0,319,"2,260,115","92,241","104,811","38,271,329"
3701320,Duplin County,"381,686",0,"293,369","1,759,222","3,900,701","7,205,882","2,856,939","3,620,200",49,"3,687,642",97,"818,580","2,649,395","696,258","61,462",0,0,"-179,406",0,0,458,"30,429,232",13,"1,479,920","2,453,520",0,451,"3,124,077","132,465","167,621","65,157,079"
3701380,Durham County,"1,298,666",0,"997,687","4,837,251","19,409,774",0,"9,814,143","6,286,098",165,"12,941,940",330,"2,758,627","9,014,437","1,315,958","209,123",0,0,"-380,855",0,0,"1,544","110,330,276",51,"5,696,445","13,761,057",0,"1,487","10,194,872","449,014","819,205","208,455,052"
3701500,Edgecombe County,"213,087",0,"163,632","252,408","3,808,812","3,927,138","1,553,443","8,372,753",27,"2,039,499",54,"454,529","1,479,100","746,649","34,313",0,0,"-63,288",0,0,253,"17,199,403",14,"1,520,386","1,754,393",0,278,"1,943,498","79,826","105,765","45,372,259"
