LEA,GEOID,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,Driver Training,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,Yancey County,,
Alamance-Burlington Schools,3700030,"920,538","4,584,182","707,351","1,958,171","13,240,141","5,659,157","6,282,595","1,360,003",110,"8,550,740",234,"1,958,285","6,389,734","1,092,875",0,0,0,"-401,937",0,0,"1,094","75,421,913",36,"4,057,200","4,082,750",0,"1,038","7,488,132","311,867","444,253","144,107,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,3700090,"186,386","974,925","143,243","99,027","2,759,580","2,136,260","1,294,027","327,577",22,"1,730,146",47,"392,107","1,293,762","615,879",0,0,0,"-49,944",0,0,221,"15,864,919",11,"1,186,152","1,067,448",0,261,"1,857,276","74,379","77,892","32,031,041",,,,,,,,,,,,,,,,,,,,,,,,,,,Alamance-Burlington,,
Alleghany County Schools,3700120,"53,482","345,293","41,106","95,714","817,954",0,"393,834","54,596",7,"514,962",14,"118,988","371,232","481,507",0,0,0,"-15,320",0,0,66,"4,769,395",4,"425,516","482,951","1,548,700",109,"791,340","27,896","23,864","11,343,010",,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander County,,
Anson County Schools,3700180,"122,592","818,896","94,118","82,850","1,825,604","1,768,248","881,439","286,980",15,"1,137,135",31,"262,522","850,947","561,006",0,0,0,"-37,810",0,0,148,"9,975,569",9,"969,876","1,061,878","1,548,000",179,"1,201,806","49,412","51,164","23,512,232",,,,,,,,,,,,,,,,,,,,,,,,,,,Alleghany County,,
Ashe County Schools,3700210,"115,517","715,362","88,820","106,233","1,703,201",0,"731,407","119,691",14,"1,104,124",30,"256,822","801,838","568,377",0,0,0,"-50,503",0,0,138,"10,367,695",6,"678,222","1,888,593","1,548,000",180,"1,224,900","49,818","47,919","22,066,037",,,,,,,,,,,,,,,,,,,,,,,,,,,Anson County,,
Asheboro City Schools,3700240,"178,712","962,258","137,213","824,212","2,584,330","2,062,754","1,275,273","347,175",21,"1,598,898",45,"378,949","1,240,491","484,175",0,0,0,"-63,295",0,0,215,"14,824,548",8,"873,968","418,826",0,234,"1,648,764","66,090","75,410","29,918,750",,,,,,,,,,,,,,,,,,,,,,,,,,,Ashe County,,
Asheville City Schools,3700270,"182,149","737,834","139,854","71,632","2,435,067",0,"1,181,503","239,383",22,"1,748,120",46,"400,648","1,264,352","484,813",0,0,0,"-63,235",0,0,215,"15,959,710",9,"953,595","411,254",0,255,"1,796,220","72,654","95,265","28,110,817",,,,,,,,,,,,,,,,,,,,,,,,,,,Avery County,,
Avery County Schools,3700300,"73,827","413,270","56,731","142,025","1,101,047",0,"506,358","77,694",9,"709,002",19,"164,977","512,455","582,054",0,0,0,"-19,715",0,0,88,"6,521,004",8,"840,136","979,028","1,600,000",133,"949,753","35,406","34,173","15,279,226",,,,,,,,,,,,,,,,,,,,,,,,,,,Beaufort County,,
Beaufort County Schools,3700330,"248,302","1,546,623","190,756","314,622","3,684,274","1,272,155","1,631,599","296,079",30,"2,222,730",63,"538,620","1,723,536","820,563",0,0,0,"-47,888",0,0,292,"20,338,971",13,"1,379,664","2,087,734",0,330,"2,346,630","95,692","114,166","40,804,827",,,,,,,,,,,,,,,,,,,,,,,,,,,Bertie County,,
Bertie County Schools,3700360,"76,625","587,126","58,894",0,"1,152,677","1,072,753","506,358","201,586",9,"654,048",20,"159,029","531,877","654,422",0,0,0,"-51,378",0,0,91,"6,251,877",7,"707,854","1,295,803","1,600,000",136,"978,928","36,421","41,046","16,515,946",,,,,,,,,,,,,,,,,,,,,,,,,,,Bladen County,,3.2375
Bladen County Schools,3700390,"156,767","1,358,727","120,520","275,312","2,374,967","2,260,405","1,031,471","364,674",19,"1,519,620",40,"339,478","1,088,169","808,386",0,0,0,"-72,472",0,0,185,"13,077,194",12,"1,296,420","1,885,656",0,240,"1,735,440","68,086","83,429","29,772,250",,,,,,,,,,,,,,,,,,,,,,,,,,,Brunswick County,,49025
Brunswick County Schools,3700420,"509,754","2,634,638","392,075","456,163","7,454,984",0,"3,281,952","579,559",61,"4,893,420",129,"1,101,380","3,538,354","767,911",0,0,0,"-75,672",0,0,598,"41,769,116",20,"2,269,500","5,274,102",0,640,"4,676,480","190,180","245,513","79,959,407",,,,,,,,,,,,,,,,,,,,,,,,,,,Buncombe County,,73537.5
Buncombe County Schools,3700450,"932,889","4,699,575","716,555","1,428,330","13,759,032",0,"6,451,381","849,739",111,"8,767,113",237,"2,033,001","6,475,467","1,227,159",0,0,0,"-289,901",0,0,"1,109","79,961,531",43,"4,723,808","7,641,483",0,"1,078","7,589,120","324,147","477,090","147,767,520",,,,,,,,,,,,,,,,,,,,,,,,,,,Asheville City,,85793.75
Burke County Schools,3700480,"467,704","2,422,244","359,345","928,423","6,907,941","6,458,367","3,038,150","923,234",56,"4,391,016",119,"1,002,799","3,246,473","914,239",0,0,0,"-271,791",0,0,553,"39,643,575",26,"2,804,490","2,484,531",0,575,"4,188,875","170,490","197,403","80,277,508",,,,,,,,,,,,,,,,,,,,,,,,,,,Burke County,,
Cabarrus County Schools,3700530,"1,372,613","5,146,041","1,054,859","1,708,861","16,475,103",0,"8,795,633","1,124,820",163,"12,250,265",349,"3,051,147","9,527,724","1,012,832",0,0,0,"-808,949",0,0,"1,611","113,253,676",42,"4,945,752","13,322,354",0,"1,612","11,263,044","487,276","633,638","204,616,689",,,,,,,,,,,,,,,,,,,,,,,,,,,Cabarrus County,,
Caldwell County Schools,3700580,"442,842","2,331,388","340,324","272,217","6,515,207","4,105,613","2,906,872","868,638",53,"4,237,138",112,"969,590","3,073,898","831,659",0,0,0,"-156,066",0,0,521,"38,216,822",26,"2,852,252","2,118,659",0,561,"4,126,155","166,194","184,612","74,404,013",,,,,,,,,,,,,,,,,,,,,,,,,,,Kannapolis City,,
Camden County Schools,3700600,"73,028","370,152","56,212",0,"1,033,755","633,147","525,112","99,393",9,"723,969",19,"158,079","506,906","474,718",0,0,0,"-40,394",0,0,88,"6,433,526",5,"562,250","610,132","1,600,000",137,"971,330","36,591","36,464","14,864,369",,,,,,,,,,,,,,,,,,,,,,,,,,,Caldwell County,,
Carteret County Schools,3700630,"321,169","1,483,030","246,885","154,821","4,332,581",0,"2,062,942","321,977",38,"3,039,772",82,"719,990","2,229,332","699,214",0,0,0,"-136,312",0,0,377,"27,784,885",16,"1,788,672","1,681,691",0,421,"2,970,576","123,433","144,139","49,968,797",,,,,,,,,,,,,,,,,,,,,,,,,,,Camden County,,
Caswell County Schools,3700660,"92,893","614,674","71,313","50,732","1,366,737","1,083,426","637,636","178,487",11,"880,429",24,"201,137","644,800","603,067",0,0,0,"-70,260",0,0,112,"7,645,880",6,"605,886","1,179,510","1,470,000",150,"1,051,950","40,650","34,555","18,383,502",,,,,,,,,,,,,,,,,,,,,,,,,,,Carteret County,,
Catawba County Schools,3700690,"623,632","3,082,390","479,254","1,041,850","8,626,566",0,"4,088,375","557,860",74,"5,707,694",158,"1,309,358","4,328,816","935,209",0,0,0,"-259,215",0,0,739,"52,486,857",28,"3,164,756","4,640,132",0,743,"5,370,404","221,878","275,296","96,681,113",,,,,,,,,,,,,,,,,,,,,,,,,,,Caswell County,,
Chapel Hill-Carrboro Schools,3700720,"497,762","1,723,301","382,492","1,294,056","5,802,810",0,"3,056,904","408,771",59,"4,673,154",126,"1,056,953","3,455,118","644,465",0,0,0,"-284,936",0,0,583,"42,068,591",19,"2,140,179","2,049,373",0,620,"4,462,140","184,056","209,240","73,824,430",,,,,,,,,,,,,,,,,,,,,,,,,,,Catawba County,,
