GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support
3700030,Alamance-Burlington,"1,857,976",0,"1,614,445","6,347,737","20,820,193","8,926,151","9,385,219","21,479,752",251,"19,511,234",288,"2,410,197","7,583,654","1,793,031","2,303,000", 10 ," 777,340 ", - , 20 ," 1,554,680 "," 1,094 "," 75,421,913 ", 36 ," 4,057,200 "," 4,082,750 ", - ," 1,038 "," 7,488,132 "," 311,867 "," 444,253 "
3700090,Alexander County,"376,194",0,"326,907","317,834","4,936,747","3,199,035","1,865,289","5,173,718",60,"4,718,580",58,"483,877","1,535,501","1,010,445","466,300", 2 ," 157,286 ", - , 5 ," 393,215 ", 221 ," 15,864,919 ", 11 ," 1,186,152 "," 1,067,448 ", - , 261 ," 1,857,276 "," 74,379 "," 77,892 "
3700120,Alleghany County,"107,945",0,"93,807","237,344","1,309,311",0,"589,112","862,284",17,"1,250,622",17,"144,486","440,596","789,987","133,800", 2 ," 147,132 ", - , 2 ," 147,132 ", 66 ," 4,769,395 ", 4 ," 425,516 "," 482,951 "," 1,548,700 ", 109 ," 791,340 "," 27,896 "," 23,864 "
3700180,Anson County,"247,434",0,"214,919","229,776","3,388,441","2,579,145","1,302,764","4,532,533",39,"2,956,551",38,"321,801","1,009,946","920,417","306,700", 5 ," 379,045 ", - , 3 ," 227,427 ", 148 ," 9,975,569 ", 9 ," 969,876 "," 1,061,878 "," 1,548,000 ", 179 ," 1,201,806 "," 49,412 "," 51,164 "
3700210,Ashe County,"233,155",0,"202,650","319,210","3,105,142",0,"1,141,843","1,890,388",34,"2,681,444",37,"316,747","951,661","932,511","289,000", 3 ," 236,598 ", - , 3 ," 236,598 ", 138 ," 10,367,695 ", 6 ," 678,222 "," 1,888,593 "," 1,548,000 ", 180 ," 1,224,900 "," 49,818 "," 47,919 "
3700240,Avery County,"149,009",0,"129,480","394,197","2,382,517",0,"713,652","1,227,091",27,"2,127,006",24,"208,392","608,207","954,950","184,700", 3 ," 236,334 ", - , 2 ," 157,556 ", 88 ," 6,521,004 ", 8 ," 840,136 "," 979,028 "," 1,600,000 ", 133 ," 949,753 "," 35,406 "," 34,173 "
3700270,Beaufort County,"501,161",0,"435,431","1,108,979","6,495,115","2,542,840","2,416,620","4,676,242",75,"5,556,825",78,"666,862","2,045,578","1,346,261","621,200", 8 ," 592,728 ", - , 6 ," 444,546 ", 292 ," 20,338,971 ", 13 ," 1,379,664 "," 2,087,734 ", - , 330 ," 2,346,630 "," 95,692 "," 114,166 "
3700300,Bertie County,"154,657",0,"134,400","50,221","2,015,725","1,596,276","719,249","3,183,829",27,"1,962,144",24,"190,835","631,258","1,073,681","191,700", 4 ," 290,688 ", - , 2 ," 145,344 ", 91 ," 6,251,877 ", 7 ," 707,854 "," 1,295,803 "," 1,600,000 ", 136 ," 978,928 "," 36,421 "," 41,046 "
3700330,Bladen County,"316,413",0,"274,998","877,827","3,820,613","3,360,570","1,511,262","5,759,625",52,"4,158,960",49,"415,860","1,291,493","1,326,283","392,200", 13 ," 1,039,740 ", - , 4 ," 319,920 ", 185 ," 13,077,194 ", 12 ," 1,296,420 "," 1,885,656 ", - , 240 ," 1,735,440 "," 68,086 "," 83,429 "
3700360,Brunswick County,"1,028,865",0,"894,383","1,794,868","11,863,157",0,"4,787,063","9,153,497",137,"10,990,140",159,"1,357,514","4,199,493","1,259,877","1,275,300", 13 ," 1,042,860 ", - , 12 ," 962,640 ", 598 ," 41,769,116 ", 20 ," 2,269,500 "," 5,274,102 ", - , 640 ," 4,676,480 "," 190,180 "," 245,513 "
